Sija,Pelaajan Nimi,KAUSI 2025 (3DA),COP (%),STD (Hajonta),FDI,F9A,TWS KA,RWS KA
1,1. Luke Littler (England),"100,96","42,87",16.0,1976,"111,51","99,44","102,72"
2,2. Luke Humphries (England),"98,5","41,18",17.0,1876,"107,8","96,62","100,63"
3,3. Michael van Gerwen (Netherlands),"97,28","39,43",18.0,1809,"106,42","95,85","98,87"
4,4. Stephen Bunting (England),"98,04","39,93",18.0,1823,"107,65","96,95","99,24"
5,5. Jonny Clayton (Wales),"96,3","42,52",20.0,1790,"104,69","95,05","97,71"
6,6. Danny Noppert (Netherlands),"94,79","40,39",20.0,1822,"102,79","94,52","95,09"
7,7. James Wade (England),"94,79","42,77",20.0,1809,"102,1","93,22","96,59"
8,8. Chris Dobey (England),"96,76","38,78",19.0,1858,"106,16",95,"98,77"
9,9. Gerwyn Price (Wales),"97,75","42,09",19.0,1899,"106,69","96,89","98,75"
10,10. Gian van Veen (Netherlands),"97,91","46,31",19.0,1867,"105,8","97,19","98,71"
11,11. Josh Rock (Northern Ireland),"98,1","39,98",18.0,1838,"108,2","96,05","100,41"
12,12. Ross Smith (England),"96,5","41,64",20.0,1780,"106,29","95,43","97,67"
13,13. Martin Schindler (Germany),"94,13","39,23",20.0,1745,"103,11","93,21","95,14"
14,14. Gary Anderson (Scotland),"97,41","42,09",17.0,1794,"105,99","95,9","99,12"
15,15. Nathan Aspinall (England),"95,64","38,91",20.0,1848,"104,88","94,41","97,04"
16,16. Damon Heta (Australia),"94,81","43,5",20.0,1785,"102,49","93,86","95,87"
17,17. Rob Cross (England),"95,75","40,51",20.0,1720,"103,66","95,59","95,96"
18,18. Mike De Decker (Belgium),"93,92","38,74",20.0,1780,"101,65","92,78","95,19"
19,19. Jermaine Wattimena (Netherlands),"94,87","39,6",21.0,1819,"104,1","93,69","96,17"
20,20. Ryan Searle (England),"95,76","40,25",20.0,1767,"105,02","95,06","96,56"
21,21. Dave Chisnall (England),"91,86","37,89",20.0,1700,"101,15","89,94","94,02"
22,22. Daryl Gurney (Northern Ireland),"93,23","40,68",21.0,1736,"100,33","91,49","95,2"
23,23. Dimitri Van den Bergh (Belgium),"88,97","32,74",20.0,1688,"96,92","87,51","90,6"
24,24. Ryan Joyce (England),"93,02","42,71",21.0,1750,"100,8","91,47","94,72"
25,25. Luke Woodhouse (England),"92,7","39,17",21.0,1771,"100,05","91,82","93,69"
26,26. Cameron Menzies (Scotland),"92,65","37,99",22.0,1753,"101,83","91,02","94,5"
27,27. Ritchie Edhouse (England),"90,94","37,98",22.0,1688,"98,63","89,62","92,42"
28,28. Michael Smith (England),"92,74","39,1",19.0,1695,"100,84","91,94","93,64"
29,29. Dirk van Duijvenbode (Netherlands),"96,53","41,29",20.0,1757,"106,28","95,03","98,24"
30,30. Peter Wright (Scotland),"92,41","38,77",20.0,1674,"99,83","90,93","94,06"
31,31. Wessel Nijman (Netherlands),"95,86","42,18",21.0,1864,"104,62","94,44","97,47"
32,32. Joe Cullen (England),"91,88","36,08",20.0,1677,"100,51","89,51","94,58"
33,33. Ricardo Pietreczko (Germany),"91,02","39,83",20.0,1697,98,"89,82","92,35"
34,34. Andrew Gilding (England),"93,4","38,9",20.0,1726,"101,98","91,8","95,22"
35,35. Raymond van Barneveld (Netherlands),"91,38","38,65",20.0,1691,"99,01","90,57","92,33"
36,36. Scott Williams (England),"91,29","39,32",20.0,1716,"99,62","89,78",93
37,37. Krzysztof Ratajski (Poland),"94,42","40,13",20.0,1745,"102,91","92,89","96,11"
38,38. Martin Lukeman (England),"90,03","39,86",20.0,1659,"96,98","89,54","90,58"
39,39. Brendan Dolan (Northern Ireland),"91,09","41,28",20.0,1708,"98,82","90,28","91,97"
40,40. Ricky Evans (England),"91,81","37,24",20.0,1709,"99,15","90,5","93,23"
41,Niko Springer (Germany),"93,9","40,49",20.0,1762,"102,64","92,42","95,57"
42,William O’Connor (Ireland),"93,99","39,93",22.0,1770,"102,84","92,84","95,27"
43,Niels Zonneveld (Netherlands),"92,9","40,41",20.0,1712,"101,14","91,66","94,25"
44,Kevin Doets (Netherlands),"91,56","38,88",20.0,1741,"100,45",90,"93,29"
45,Karel Sedlacek (Czechia),93,"38,45",20.0,1764,"100,93","91,28","94,91"
46,Bradley Brooks (England),"93,2","40,21",20.0,1720,"102,36","91,65","94,92"
47,Jeffrey de Graaf (Sweden),"90,51","39,15",20.0,1680,"97,97","89,47","91,68"
48,Mickey Mansell (Northern Ireland),"91,36","38,77",20.0,1710,"99,27","89,98","92,95"
49,Mario Vandenbogaerde (Belgium),"91,13","37,94",20.0,1697,"99,24","90,62","91,71"
50,Callan Rydz (England),"94,26","39,43",20.0,1729,"102,49","93,34","95,26"
51,Cam Crabtree (England),"90,8","38,75",20.0,1728,"99,66","89,41","92,37"
52,Ian White (England),"91,72","40,43",20.0,1658,"99,43","91,65","91,8"
53,Sebastian BIalecki (Poland),"88,55","36,34",20.0,1661,"96,91","87,72","89,49"
54,Dom Taylor (England),"94,35","43,47",20.0,1701,"100,65","92,67","96,21"
55,Richard Veenstra (Netherlands),"90,61","37,87",20.0,1707,"97,26","89,64","91,66"
56,Madars Razma (Latvia),"91,69","38,82",20.0,1700,"99,65","90,05","93,54"
57,Alan Soutar (Scotland),"91,44","37,88",20.0,1699,"100,62","90,59","92,4"
58,Lukas Wenig (Germany),"91,6","35,56",20.0,1730,"100,25","89,69","93,8"
59,Kim Huybrechts (Belgium),"91,23","38,21",20.0,1667,"98,55","89,32","93,32"
60,Mensur Suljovic (Austria),"91,68","35,25",20.0,1670,"99,69","90,07","93,47"
61,Gabriel Clemens (Germany),"91,5","36,36",20.0,1674,"99,83","89,95","93,27"
62,Thibault Tricole (France),"89,26","37,1",20.0,1697,"96,33","87,73","90,96"
63,Matthew Dennant (England),"90,84","38,5",20.0,1678,"98,02","89,3","92,52"
64,Darren Beveridge (Scotland),"90,46","38,24",20.0,1669,"97,48","89,04","92,07"
65,Justin Hood (England),"91,36","36,74",20.0,1671,"99,39","89,46","93,52"
66,Wesley Plaisier (Netherlands),"92,23","41,16",20.0,1732,"99,32","91,54","93,01"
67,Steve Lennon (Ireland),"91,38","35,75",20.0,1686,"99,53","89,54","93,4"
68,Max Hopp (Germany),"88,9","34,62",20.0,1675,"97,63","87,35","90,65"
69,Ryan Meikle (England),"90,09","37,36",20.0,1643,"97,4","88,36","92,12"
70,James Hurrell (England),"91,95","37,91",20.0,1682,"100,24","90,5","93,6"
71,Nick Kenny (Wales),"90,31","36,67",20.0,1630,"97,98","89,48","91,22"
72,Matt Campbell (Canada),"91,1","39,65",20.0,1647,"97,84","89,86","92,46"
73,Keane Barry (Ireland),"89,45","36,41",20.0,1706,97,"88,2","90,85"
74,Adam Lipscombe (England),"88,41","38,36",20.0,1638,"95,06","87,79","89,1"
75,Darius Labanauskas (Lithuania),"88,66","37,65",20.0,1655,"96,88","87,99","89,4"
76,Dominik Gruellich (Germany),"89,1","36,72",20.0,1650,"97,77","87,78","90,59"
77,Chris Landman (Netherlands),"90,1","37,23",20.0,1657,"98,27","89,31","90,98"
78,Owen Bates (England),"88,79","36,82",20.0,1641,"98,01","87,16","90,61"
79,Cor Dekker (Norway),"87,89","37,72",20.0,1710,"95,99","86,18","89,85"
80,Connor Scutt (England),"93,3","39,24",20.0,1692,"101,43","92,47","94,19"
81,Beau Greaves (England),"90,57","38,82",20.0,1753,"100,99","90,15","91,04"
82,Charlie Manby (England),"89,65","37,62",20.0,1689,"99,36","88,79","90,58"
83,Jamai van den Herik (Netherlands),"88,11","36,12",20.0,1588,"97,1","87,1","89,23"
84,Jurjen van der Velde (Netherlands),"87,87","37,06",20.0,1690,"96,82","86,43","89,49"
85,Stefan Bellmont (Switzerland),"86,87","37,69",20.0,1621,"94,28","85,5","88,42"
86,Ted Evetts (England),"88,24","35,01",20.0,1644,"97,66","87,05","89,56"
87,Mervyn King (England),"89,34","38,29",20.0,1647,"98,34","88,67","90,08"
88,Lisa Ashton (England),"78,8","30,8",20.0,1557,"86,64","77,03","80,8"
89,Fallon Sherrock (England),"80,95","32,88",20.0,1591,"89,87","79,92","82,06"
90,Noa-Lynn van Leuven (Netherlands),"81,47","32,81",20.0,1558,"90,59","81,2","81,76"
91,Gemma Hayter (England),"79,93","34,05",20.0,1598,"86,91","78,82","81,13"
92,Mitsuhiko Tatsunami (Japan),"82,18","31,62",20.0,1568,"92,46","82,32","82,03"
93,Xiaochen Zong (China),"83,21","31,95",20.0,1586,"93,58","82,9","83,56"
94,Nitin Kumar (India),"77,04","32,02",20.0,1547,"87,15","76,92","77,16"
95,Lourence Ilagan (Philippines),"86,9","38,1",20.0,1697,"96,24",86,"87,86"
96,Alexis Toylo (Philippines),"86,73","38,35",20.0,1670,"95,66","86,15","87,35"
97,Motomu Sakai (Japan),"86,74","36,41",20.0,1613,"97,17","86,06","87,49"
98,Ryusei Azemoto (Japan),"83,28","34,07",20.0,1606,"93,22","82,92","83,67"
99,Paul Lim (Singapore),"85,03",35,20.0,1586,"94,84","83,99","86,14"
100,Man Lok Leung (Hong Kong),"87,55","37,05",20.0,,"97,51","86,32","88,87"
101,Paolo Nebrida (Philippines),"85,58","37,8",20.0,1626,"94,11","84,19","87,1"
102,Andy Baetens (Belgium),"91,2","36,04",20.0,1691,"99,83","89,49","93,09"
103,Cristo Reyes (Spain),"97,61",50,20.0,1721,"105,31","95,78","99,78"
104,Boris Krcmar (Croatia),"89,96","37,81",20.0,1729,"99,5","89,17","90,82"
105,Adam Gawlas (Czechia),"85,93","36,96",20.0,1641,"94,82","84,82","87,13"
106,Krzysztof Kciuk (Poland),"84,61","35,47",20.0,1617,"92,04","83,9","85,43"
107,Arno Merk (Germany),"83,3","34,84","20.,0",1635,"91,31","82,85","83,78"
108,Patrik Kovacs (Hungary),"82,17","35,69",20.0,1607,"90,32","81,54","82,84"
109,David Davies (Wales),"85,79","33,57",20.0,1523,95,"85,86","85,72"
110,Alex Spellman (USA),"84,65","37,86",20.0,1646,"92,53","83,29","86,21"
111,Leonard Gates (USA),"85,55","34,86",20.0,1623,"93,85","84,89","86,28"
112,Adam Sevada (USA),"89,69","41,4",20.0,1703,"99,01","89,02","90,43"
113,David Cameron (Canada),"86,63","35,55",20.0,1577,95,85,87
114,Stowe Buntz (USA),"86,74","37,75",20.0,1675,"94,86","85,05","88,6"
115,Jesus Salate (Argentina),"82,69","36,23",20.0,1633,"92,35","81,19","84,34"
116,Teemu Harju (Finland),"86,36","35,29",20.0,1669,"95,87","85,53","87,28"
117,Andreas Harrysson (Sweden),"87,89","36,87",20.0,1682,"97,18","86,91",89
118,Oskar Lukasiak (Sweden),"85,67","35,93",20.0,1573,"92,82","84,95","86,48"
119,Simon Whitlock (Australia),"86,34","36,4",20.0,1656,"94,19","85,47","87,33"
120,Tim Pusey (Australia),"82,91","34,44",20.0,1614,"91,44","81,78","84,14"
121,Joe Comito (Australia),"84,36","31,04",20.0,1569,"93,59","82,77","86,07"
122,Jonny Tata (New Zealand),"86,02","36,23",20.0,1664,"96,55","85,78","86,29"
123,David Munyua (Kenya),"75,05","26,79",20.0,1347,"84,62","73,92","76,31"
124,Adam Hunt (England),"89,28","37,72",20.0,1666,"97,04","88,1","90,59"
125,Tavis Dudeney (England),"82,66","34,51",20.0,1520,"89,03",81,"84,52"
126,Stephen Burton (England),"89,6","35,35",20.0,1635,"97,5","87,79","91,64"
127,Haupai Puha (New Zealand),"87,24","37,48",20.0,1618,"95,63","86,16","88,44"
128,Mario Vandenbogaerde (Belgium),"91,13","37,94",20.0,1697,"99,24","90,62","91,71"
